entry_z,exit_z,drift_limit,adverse_z_stop,max_hold_bars,require_turn,total_profit_units,num_trades,win_rate,avg_profit_units,max_drawdown_units,short_trade_profit,long_trade_profit,robust_score
2.0,0.5,None,0.5,None,True,4501.550455,158,0.6012658227848101,28.490825664556958,1247.8399725000017,3414.1202774999983,1087.4301775000013,3565.6704756249983
2.0,0.5,None,1.1,180,True,4109.0749575,125,0.696,32.87259966,889.7307925000023,3269.0996050000003,839.9753524999996,3441.7768631249983
2.0,0.3,None,0.8,None,True,4261.564222499998,124,0.6612903225806451,34.367453407258054,1111.893387500002,3535.6281549999967,725.9360675000016,3427.644181874997
2.0,0.4,None,0.8,None,True,4270.1731125,128,0.6640625,33.36072744140625,1162.5066150000011,3498.9037599999965,771.2693525000032,3398.293151249999
2.0,0.5,None,0.8,None,True,4317.334155,133,0.6691729323308271,32.46115906015037,1247.7309375000023,3504.8320949999998,812.5020599999998,3381.535951874998
1.8,0.5,None,0.5,None,True,4255.842685000004,204,0.5392156862745098,20.86197394607845,1196.1734025000023,3627.1288074999984,628.7138775000058,3358.7126331250024
2.0,0.3,None,1.1,None,True,4215.8995675,112,0.7053571428571429,37.64196042410714,1143.6505975000018,3423.8647649999966,792.034802500003,3358.1616193749983
2.2,0.3,None,0.8,180,False,4042.237334999996,142,0.6267605633802817,28.466460105633775,948.4652700000024,3236.513012499995,805.7243225000011,3330.8883824999943
1.8,0.6,None,0.5,180,True,3940.3383475000064,210,0.5476190476190477,18.76351594047622,816.1280099999994,3243.0297100000007,697.3086375000057,3328.242340000007
2.0,0.4,None,None,180,True,3943.640587499999,112,0.7321428571428571,35.21107667410713,873.4858700000013,3114.1672949999975,829.4732925000017,3288.526184999998
2.0,0.4,None,1.1,None,True,4172.1380925,117,0.7008547008547008,35.65929993589744,1194.263825000001,3387.1403699999964,784.9977225000039,3276.44022375
2.2,0.3,None,0.5,180,False,3941.681569999999,178,0.5112359550561798,22.14427848314606,892.2307200000005,3188.3709450000015,753.3106249999973,3272.5085299999982
2.0,0.5,None,1.1,None,True,4219.299135,122,0.6967213114754098,34.58441913934426,1279.488147500002,3393.0687049999997,826.2304300000005,3259.6830243749987
2.0,0.6,None,0.5,180,True,3837.0439850000002,162,0.5987654320987654,23.685456697530867,799.5228050000032,3014.23513,822.8088550000002,3237.401881249998
2.0,0.3,None,None,None,True,4043.510662499999,102,0.7254901960784313,39.64226139705881,1158.1526575000016,3437.7351299999964,605.7755325000026,3174.896169374998
2.2,0.3,None,0.5,180,True,3854.8870625000036,125,0.584,30.83909650000003,940.3234200000006,3119.5909299999994,735.2961325000042,3149.644497500003
1.8,0.3,None,1.1,180,True,3786.1533100000015,145,0.6896551724137931,26.111402137931044,918.9841724999978,3199.6945099999975,586.458800000004,3096.915180625003
2.0,0.4,None,None,None,True,3999.7491874999996,107,0.719626168224299,37.38083352803738,1208.7658850000007,3401.010734999996,598.7384525000034,3093.174773749999
2.0,0.5,None,None,180,True,3794.9968224999993,115,0.7130434782608696,32.999972369565214,949.0887975000023,3188.4309025000002,606.5659199999991,3083.1802243749976
2.0,0.5,None,None,None,True,4046.9102299999995,112,0.7142857142857143,36.13312705357142,1293.9902075000018,3406.9390699999994,639.97116,3076.4175743749984
2.6,0.3,None,0.5,180,True,3402.1772324999984,63,0.6825396825396826,54.00281321428569,444.63787500000035,1547.9279724999978,1854.2492600000005,3068.698826249998
1.8,0.5,None,1.1,None,True,3949.933035000001,145,0.696551724137931,27.240917482758626,1288.8298175000027,3496.433252499998,453.49978250000277,2983.3106718749987
2.0,0.5,None,0.5,120,True,3746.744095000002,166,0.5421686746987951,22.570747560240974,1027.6443450000006,3168.3156874999995,578.4284075000023,2976.0108362500014
1.8,0.3,None,0.5,None,True,3756.165307500006,193,0.5025906735751295,19.461996411917127,1065.4161200000017,3362.4289874999968,393.7363200000091,2957.1032175000046
2.2,0.3,None,1.1,180,False,3654.8173849999976,127,0.6771653543307087,28.778089645669272,933.7656675000026,2889.5930624999974,765.2243225000002,2954.493134374996
1.8,0.3,None,0.8,180,True,3562.097617499997,166,0.608433734939759,21.458419382530103,838.0455375000029,3128.2788974999967,433.8187200000002,2933.5634643749945
1.8,0.6,None,0.5,None,True,3845.879257500008,206,0.5436893203883495,18.669316783980623,1232.7495500000032,3067.893750000001,777.9855075000069,2921.317095000006
1.8,0.5,None,0.8,120,True,3717.4209649999993,184,0.592391304347826,20.203374809782606,1087.253525000002,3519.060827499997,198.36013750000257,2901.980821249998
2.0,0.5,None,0.8,120,True,3700.9946175000014,144,0.6180555555555556,25.701351510416675,1083.1896650000008,3160.5314800000006,540.4631375000008,2888.602368750001
1.8,0.5,None,0.5,120,True,3612.9233875000064,215,0.5023255813953489,16.804294825581426,978.7060725000019,3269.2769099999996,343.64647750000677,2878.8938331250047
1.8,0.5,None,1.1,180,True,3620.875572500001,151,0.695364238410596,23.979308427152326,996.4468025000033,3261.1185074999985,359.7570650000025,2873.5404706249983
2.0,0.6,None,0.5,None,True,3811.9944000000014,158,0.5949367088607594,24.126546835443047,1284.4161200000026,2908.508675,903.4857250000014,2848.6823099999992
2.2,0.4,None,0.8,180,False,3555.4861599999986,143,0.6153846153846154,24.86353958041957,963.8089275000011,2935.7886899999958,619.6974700000028,2832.629464374998
2.0,0.3,None,None,80,True,3494.580267499997,140,0.5928571428571429,24.961287624999976,924.7637525000027,3131.646549999996,362.93371750000097,2801.0074531249948
1.8,0.5,None,1.1,120,True,3654.9167000000043,164,0.6463414634146342,22.286077439024417,1153.9634275000017,3595.7315899999985,59.18511000000581,2789.4441293750033
2.6,0.3,None,0.8,180,True,3120.596819999996,56,0.7321428571428571,55.724943214285645,444.63787500000035,1362.2879649999968,1758.3088549999993,2787.118413749996
2.0,0.4,None,0.8,120,True,3565.350127499998,141,0.5957446808510638,25.28617111702126,1054.6546450000014,2886.9879299999975,678.3621975000005,2774.359143749997
2.2,0.4,None,0.5,180,True,3477.5967475000043,125,0.592,27.820773980000034,947.1361774999996,2726.4755699999996,751.1211775000047,2767.244614375005
2.0,0.4,None,0.5,120,True,3515.622264999999,163,0.5153374233128835,21.56823475460122,999.1093250000013,2833.1753899999967,682.4468750000024,2766.290271249998
2.2,0.3,None,None,180,False,3478.4120724999984,110,0.7272727272727273,31.621927931818167,951.4179625000033,2841.669209999998,636.7428625000002,2764.848600624996
2.2,0.4,None,0.5,180,False,3430.251392500002,180,0.5111111111111111,19.056952180555566,893.3192274999992,2887.646622500002,542.6047699999999,2760.261971875003
1.8,0.6,None,0.8,120,True,3590.241527500003,185,0.6108108108108108,19.406710959459478,1108.1917975000024,3090.8628499999986,499.3786775000044,2759.0976793750015
2.6,0.3,None,0.5,180,False,3491.1605350000045,101,0.594059405940594,34.56594589108916,1007.2884724999994,2524.067979999999,967.0925550000056,2735.694180625005
1.8,0.5,None,0.8,None,True,3660.2910399999973,167,0.6287425149700598,21.91791041916166,1238.1240350000026,3385.7624899999973,274.52855,2731.6980137499954
2.0,0.6,None,0.8,180,True,3418.979835,137,0.656934306569343,24.956057189781024,918.7553675000036,2929.3419600000016,489.63787499999853,2729.9133093749974
2.6,0.4,None,0.5,180,True,3035.971377499999,63,0.6825396825396826,48.19002186507935,411.24073000000044,1340.5286949999982,1695.442682500001,2727.540829999999
2.6,0.3,None,0.5,None,True,3235.0926274999974,61,0.6885245901639344,53.034305368852415,679.4015550000004,1265.4443074999972,1969.6483200000002,2725.541461249997
1.8,0.6,None,0.5,120,True,3496.6349150000087,216,0.5138888888888888,16.188124606481523,1037.8994950000024,2830.1447800000005,666.4901350000082,2718.2102937500067
1.8,0.4,None,0.5,None,True,3506.786557500007,198,0.51010101010101,17.711043219697004,1110.9490800000012,3162.3465874999965,344.43997000001036,2673.574747500006
1.8,0.6,None,1.1,120,True,3551.013012500008,165,0.6666666666666666,21.52129098484853,1174.9017000000022,3167.5336125000003,383.47940000000744,2669.836737500006
2.0,0.6,None,0.8,None,True,3627.7781000000014,133,0.6616541353383458,27.276527067669182,1284.307085000003,2999.2204925000015,628.5576074999999,2664.5477862499993
2.2,0.3,None,1.1,180,True,3319.717997500001,99,0.696969696969697,33.53250502525253,893.8521875000015,2713.4816775,606.2363200000009,2649.3288568749995
2.0,0.6,None,0.5,120,True,3424.657285000004,166,0.5481927710843374,20.63046557228918,1048.582617500001,2782.0127950000006,642.6444900000033,2638.220321875003
1.8,0.5,None,0.8,180,True,3399.6758974999966,172,0.627906976744186,19.765557543604633,1020.337405000003,3189.7028949999976,209.97300249999898,2634.422843749994
2.0,0.3,None,0.5,120,True,3397.59357,162,0.5,20.972799814814813,1029.2472000000016,3078.613807499997,318.97976250000283,2625.658169999999
1.8,0.4,None,1.1,180,True,3305.644925000005,146,0.6917808219178082,22.641403595890445,926.4676924999976,2881.9578274999976,423.68709750000744,2610.794155625007
2.0,0.6,None,1.1,180,True,3306.6196975000003,125,0.68,26.452957580000003,941.5866650000034,2803.253452500001,503.36624499999925,2600.4296987499974
2.0,0.3,None,1.1,80,True,3308.4114924999985,147,0.564625850340136,22.50620062925169,957.8234925000024,2926.868667499998,381.54282500000045,2590.043873124997
2.6,0.5,None,0.5,180,True,2896.047742499999,63,0.6984126984126984,45.96901178571427,411.24073000000044,1216.2387425000006,1679.8089999999984,2587.617194999999
2.6,0.3,None,0.8,None,True,3113.4423199999947,54,0.7407407407407407,57.65633925925916,702.9159750000008,1253.372279999996,1860.0700399999987,2586.255338749994
2.6,0.3,None,1.1,180,True,2973.578279999997,55,0.7454545454545455,54.06505963636358,518.02884,1254.6480299999976,1718.9302499999994,2585.056649999997
1.8,0.5,None,None,None,True,3593.875282500001,128,0.7109375,28.077150644531258,1345.4718125000018,3393.624542499999,200.25074000000222,2584.7714231249997
2.2,0.3,None,0.8,180,True,3352.131622499999,110,0.6272727272727273,30.473923840909084,1029.140297500001,2759.255367499999,592.8762550000001,2580.2763993749986
2.2,0.3,None,0.5,None,True,3436.287965000003,119,0.5798319327731093,28.87636945378154,1154.508602500001,2847.1586199999983,589.1293450000048,2570.4065131250027
2.2,0.5,None,0.5,180,True,3317.465342500004,127,0.5984251968503937,26.121774350393736,1009.9303950000012,2593.2474175000016,724.2179250000027,2560.0175462500033
1.8,0.3,None,1.1,None,True,3423.158982500003,134,0.6791044776119403,25.54596255597017,1158.072535000002,3246.229312499997,176.9296700000059,2554.6045812500015
